scale_label,g_class,candidate_id,final_benchmark_group,design_pattern,matrix_signal,is_p95_winner,p95_latency_ms,mongodb_plan_pattern,n_components,sum_total_docs_examined,sum_total_keys_examined,max_collection_avg_obj_size_bytes,sum_estimated_docs_examined_bytes,docs_ratio,obj_ratio,est_bytes_ratio,collections_touched,all_stages,all_index_names
sf1,CONTROL,q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline,control,normalized_reference_baseline,baseline refs,False,0.1719512627460062,EXPRESS_IXSCAN+IXSCAN+FETCH,4,4,4,584.0,1198.0,1.0,1.0051635111876076,1.002510460251046,corporations_normalized_baseline;countries;industries;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_COUNTRYID_1;_norm_INDUSTRYSECTORCLASSIFIERID_1;_norm_LISTEDSECURITYID_1
sf1,G1,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,primary,embedded_descriptors,descriptor embedding,False,0.1670388388447463,EXPRESS_IXSCAN+IXSCAN+FETCH,3,3,3,870.0,1250.0,0.75,1.4974182444061963,1.0460251046025104,corporations_with_descriptors;listed_securities;securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_ISPROVIDEDBY_1;_norm_LISTEDSECURITYID_1
sf1,G3,q2_company_with_industry_country_and_listed_securities__g3__association_references,primary,association_references,association refs,False,0.1315125089604407,EXPRESS_IXSCAN+IXSCAN+FETCH,4,4,4,512.0,1126.0,1.0,0.8812392426850258,0.9422594142259414,corporations_with_references;countries;industries;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_COUNTRYID_1;_norm_INDUSTRYSECTORCLASSIFIERID_1;_norm_LISTEDSECURITYID_1
sf1,G5,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,primary,shared_target_reference_strategy,shared refs,True,0.1171174575574696,EXPRESS_IXSCAN+IXSCAN+FETCH,4,4,4,581.0,1195.0,1.0,1.0,1.0,corporations_shared_refs;countries;industries;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_COUNTRYID_1;_norm_INDUSTRYSECTORCLASSIFIERID_1;_norm_LISTEDSECURITYID_1
sf1,G7,q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,secondary_affected,update_aware_reference_design,update-aware refs,False,0.1288149913307279,EXPRESS_IXSCAN+IXSCAN+FETCH,2,2,2,919.0,1168.0,0.5,1.5817555938037866,0.9774058577405857,corporations_update_aware;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_LISTEDSECURITYID_1
sf1,G9,q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,secondary_affected,benchmark_tradeoff_alternative,trade-off,False,0.1336528570391237,EXPRESS_IXSCAN+IXSCAN+FETCH,4,4,4,579.0,1193.0,1.0,0.9965576592082617,0.998326359832636,corporations_tradeoff;countries;industries;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_COUNTRYID_1;_norm_INDUSTRYSECTORCLASSIFIERID_1;_norm_LISTEDSECURITYID_1
sf10,CONTROL,q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline,control,normalized_reference_baseline,baseline refs,False,0.4192406660877167,EXPRESS_IXSCAN+IXSCAN+FETCH,4,13,13,34728.0,38053.0,0.6190476190476191,8.48058608058608,4.35638236977676,corporations_normalized_baseline;countries;industries;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_COUNTRYID_1;_norm_INDUSTRYSECTORCLASSIFIERID_1;_norm_LISTEDSECURITYID_1
sf10,G1,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,primary,embedded_descriptors,descriptor embedding,True,0.1553680398501455,EXPRESS_IXSCAN+IXSCAN+FETCH,3,21,21,4095.0,8735.0,1.0,1.0,1.0,corporations_with_descriptors;listed_securities;securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_ISPROVIDEDBY_1;_norm_LISTEDSECURITYID_1
sf10,G3,q2_company_with_industry_country_and_listed_securities__g3__association_references,primary,association_references,association refs,False,0.2508050005417316,EXPRESS_IXSCAN+IXSCAN+FETCH,4,13,13,34530.0,37855.0,0.6190476190476191,8.432234432234432,4.333714939896966,corporations_with_references;countries;industries;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_COUNTRYID_1;_norm_INDUSTRYSECTORCLASSIFIERID_1;_norm_LISTEDSECURITYID_1
sf10,G5,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,primary,shared_target_reference_strategy,shared refs,False,0.1912904961500316,EXPRESS_IXSCAN+IXSCAN+FETCH,4,13,13,34725.0,38050.0,0.6190476190476191,8.47985347985348,4.356038923869491,corporations_shared_refs;countries;industries;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_COUNTRYID_1;_norm_INDUSTRYSECTORCLASSIFIERID_1;_norm_LISTEDSECURITYID_1
sf10,G7,q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,secondary_affected,update_aware_reference_design,update-aware refs,False,0.3301908844150603,EXPRESS_IXSCAN+IXSCAN+FETCH,2,11,11,38109.0,41069.0,0.5238095238095238,9.306227106227107,4.701659988551803,corporations_update_aware;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_LISTEDSECURITYID_1
sf10,G9,q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,secondary_affected,benchmark_tradeoff_alternative,trade-off,False,0.2733346656896173,EXPRESS_IXSCAN+IXSCAN+FETCH,4,13,13,34723.0,38048.0,0.6190476190476191,8.47936507936508,4.355809959931311,corporations_tradeoff;countries;industries;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_COUNTRYID_1;_norm_INDUSTRYSECTORCLASSIFIERID_1;_norm_LISTEDSECURITYID_1
sf30,CONTROL,q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline,control,normalized_reference_baseline,baseline refs,False,0.2889826602768152,EXPRESS_IXSCAN+IXSCAN+FETCH,4,33,33,842320.0,851625.0,1.0,1.0000059360215596,1.000005871163195,corporations_normalized_baseline;countries;industries;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_COUNTRYID_1;_norm_INDUSTRYSECTORCLASSIFIERID_1;_norm_LISTEDSECURITYID_1
sf30,G1,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,primary,embedded_descriptors,descriptor embedding,False,0.2679776109289378,EXPRESS_IXSCAN+IXSCAN+FETCH,3,61,61,10836.0,24876.0,1.8484848484848484,0.012864545924030796,0.029210211127028488,corporations_with_descriptors;listed_securities;securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_ISPROVIDEDBY_1;_norm_LISTEDSECURITYID_1
sf30,G3,q2_company_with_industry_country_and_listed_securities__g3__association_references,primary,association_references,association refs,False,1.5413900895509869,EXPRESS_IXSCAN+IXSCAN+FETCH,4,33,33,841802.0,851107.0,1.0,0.9993909641879819,0.9993976186562081,corporations_with_references;countries;industries;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_COUNTRYID_1;_norm_INDUSTRYSECTORCLASSIFIERID_1;_norm_LISTEDSECURITYID_1
sf30,G5,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,primary,shared_target_reference_strategy,shared refs,False,1.5442806645296514,EXPRESS_IXSCAN+IXSCAN+FETCH,4,33,33,842317.0,851622.0,1.0,1.000002374408624,1.000002348465278,corporations_shared_refs;countries;industries;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_COUNTRYID_1;_norm_INDUSTRYSECTORCLASSIFIERID_1;_norm_LISTEDSECURITYID_1
sf30,G7,q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,secondary_affected,update_aware_reference_design,update-aware refs,False,1.5155152301304042,EXPRESS_IXSCAN+IXSCAN+FETCH,2,31,31,852067.0,861007.0,0.9393939393939394,1.0115776164499028,1.0110225217820155,corporations_update_aware;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_LISTEDSECURITYID_1
sf30,G9,q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,secondary_affected,benchmark_tradeoff_alternative,trade-off,True,0.2507009194232523,EXPRESS_IXSCAN+IXSCAN+FETCH,4,33,33,842315.0,851620.0,1.0,1.0,1.0,corporations_tradeoff;countries;industries;listed_securities,EXPRESS_IXSCAN;FETCH;IXSCAN,CORPORATIONID_1;_norm_COUNTRYID_1;_norm_INDUSTRYSECTORCLASSIFIERID_1;_norm_LISTEDSECURITYID_1
